id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score
bitget-token,bgb,Bitget Token,2.13,1487338274,54,15174327.0,-0.63478,-1.3796857290112274,699992035.9787906,0.01020233746771718,0.01020233746771718,0.47197378995320766,0.4482214392374124,0.00572598316702173,0.894,0.0,0.4653287215263141
euro-coin,eurc,EURC,1.15,433047238,109,54348860.0,0.06559,0.08376797812147839,375662240.9211921,0.12550330594649814,0.12550330594649814,0.4861835453965745,0.457986447928036,0.08267653823721133,0.784,0.0,0.4646564457880127
vechain,vet,VeChain,0.00716632,616184137,87,13770990.0,-0.07163,1.901314398082991,85985041177.0,0.022348822653965855,0.022348822653965855,0.48339949890409367,0.4701141677869099,0.013832409241020244,0.828,0.0,0.46381192364876656
midnight-3,night,Midnight,0.04453281,738804369,82,340690848.0,-5.72092,-7.452271861779397,16607399400.63495,0.46113810677803396,0.46113810677803396,0.3687814693930385,0.4077016359310109,0.3066753872114266,0.838,0.0,0.46312213068313235
xdce-crowd-sale,xdc,XDC Network,0.03208456,639723398,86,19781142.0,0.81786,-2.6812136648652958,19938670955.37,0.03092139831346297,0.03092139831346297,0.5014462961245919,0.4395368928504922,0.019553648742151573,0.83,0.0,0.46184353938860434
beldex,bdx,Beldex,0.080458,611993313,88,12507786.0,0.22441,0.1687844363871317,7606342236.723518,0.020437782136354814,0.020437782136354814,0.48940583270116417,0.4585537268585303,0.012557002533410024,0.826,0.0,0.4616362449779454
rain,rain,Rain,0.00870259,4160591983,25,20390868.0,-2.76596,-1.8919944969032845,478086731722.11755,0.0049009535381782715,0.0049009535381782715,0.4287344356036574,0.44480301913545367,0.0021878998239206133,0.952,0.0,0.46142974710211226
nexo,nexo,NEXO,0.884489,884489058,72,6771866.0,-0.28308,-0.774645553729747,1000000000.0,0.0076562462121492975,0.0076562462121492975,0.47910940539851815,0.4522586168679751,0.004026750819191447,0.858,0.0,0.46131740993537285
hedera-hashgraph,hbar,Hedera,0.092117,3988994436,28,81995145.0,-2.9978,-1.5530493342826621,43303446051.94626,0.020555342033071716,0.020555342033071716,0.42403065088702174,0.44706465709673904,0.01263546067149604,0.946,0.0,0.46128358833373795
dogwifcoin,wif,dogwifhat,0.171678,171402104,194,73331340.0,-2.25553,4.509157512945137,998926392.0,0.42783220444015085,0.42783220444015085,0.4390905123501739,0.48751520381305496,0.28444740677182356,0.614,0.0,0.4607640583149004
mantle,mnt,Mantle,0.732575,2401347829,39,57228885.0,-3.96568,3.2755948792245193,3277944055.53684,0.02383198481655695,0.02383198481655695,0.4043934047192449,0.4792841611910706,0.014822254800656557,0.924,0.0,0.4606591437315977
kucoin-shares,kcs,KuCoin,7.89,1041929452,66,1690691.0,-0.85285,-0.5382444668004824,132155021.7355671,0.0016226540067129228,0.0016226540067129228,0.46754938375429134,0.45383602150816693,0.0,0.87,0.0,0.4597666092538233
algorand,algo,Algorand,0.087979,782234998,78,35323902.0,-1.81699,1.6660605385975051,8891127907.567999,0.04515765989800421,0.04515765989800421,0.44798801817157413,0.4685444181110699,0.029054767817803306,0.846,0.0,0.4583493494554293
filecoin,fil,Filecoin,0.885427,674957633,85,68955116.0,-2.90155,3.1210733267988138,762425604.0,0.10216213970870079,0.10216213970870079,0.42598346006134963,0.4782531041135754,0.06709890934405405,0.832,0.0,0.4582684421356342
pax-gold,paxg,PAX Gold,4615.78,2313706820,41,700273179.0,-5.26888,-10.270067588908391,501150.394,0.3026628840554656,0.3026628840554656,0.3779528757220068,0.3888996747690638,0.20091082587022868,0.92,0.0,0.4577787713184025
ylds,ylds,YLDS,0.999996,570562951,92,8589210.0,0.01443,0.016557238341029862,570565015.56,0.015053921718797336,0.015053921718797336,0.4851455639175239,0.4575379790390917,0.008963875320192266,0.818,0.0,0.45772147172296973
gho,gho,GHO,0.999781,583876382,91,3250236.0,0.02943,-0.009451597632589057,584000000.0,0.005566650921667183,0.005566650921667183,0.4854498978148218,0.45736443305804864,0.0026321786868312206,0.82,0.0,0.45702708938178727
monero,xmr,Monero,340.63,6283640364,18,86292201.0,-3.7095,-3.017024821466876,18446744.07370955,0.0137328357450853,0.0137328357450853,0.4095910219065626,0.4372961667881369,0.008082197565757,0.966,0.0,0.45691277260837737
