id,ts,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,volume_to_mcap,final_score,risk_level,bucket,future_price_6h,future_return_6h,target_up_6h_3pct,rank_strength,score_x_liquidity,score_x_rank,price_lag_1,price_lag_2,score_lag_1,score_lag_2,volume_to_mcap_lag_1,rank_lag_1,price_return_1,price_return_2,score_delta_1,volume_to_mcap_delta_1,rank_change_1
111,2026-03-29 21:01:27.355962,FLOKI,FLOKI,2.746e-05,264909825.0,135,15525580.0,-2.32605,-3.500529878531972,0.05860703731920853,0.34151097264617564,Medium,balanced,2.664e-05,-0.029861616897305255,0,0.007407407407407408,0.02001494631879362,0.00252971090849019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,2026-03-29 21:01:27.355962,FLR,Flare,0.00768039,656209498.0,83,1789869.0,-2.26919,-4.597175761483262,0.002727587768014903,0.2830865743518946,Medium,balanced,0.0074686,-0.027575422602237634,0,0.012048192771084338,0.0007721434774914691,0.0034106816186975255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,2026-03-29 21:01:27.355962,FLUID,Fluid,1.63,127982594.0,221,2033065.0,-1.62229,-15.974698773864473,0.015885480489635957,0.11072045968464217,High,speculative,1.47,-0.09815950920245395,0,0.004524886877828055,0.0017588477021239079,0.0005009975551341275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,2026-03-29 21:01:27.355962,GALA,GALA,0.0027842,132364297.0,214,16641187.0,-4.13212,-8.60623805837419,0.12572262594345968,0.2220333503313135,High,speculative,0.00282631,0.015124631851160015,1,0.004672897196261682,0.027914615850676866,0.0010375390202397826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2026-03-29 21:01:27.355962,GHO,GHO,0.999154,583506979.0,90,1814358.0,0.0122,0.0005037668003822457,0.0031094023984244413,0.5073256858894789,Medium,balanced,0.999214,6.005080297938056e-05,0,0.011111111111111112,0.0015774797044870704,0.005636952065438655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2026-03-29 21:01:27.355962,GLM,Golem,0.126839,126917254.0,225,3891250.0,-4.14306,-1.1992370167359718,0.03065973992787458,0.20263982927346702,High,speculative,0.124262,-0.020317094899833722,0,0.0044444444444444444,0.006212884464553405,0.0009006214634376311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2026-03-29 21:01:27.355962,GNO,Gnosis,119.01,314148947.0,123,1649443.0,0.06785,-5.254926365948308,0.005250512585674845,0.4001344538619,Medium,balanced,118.31,-0.005881858667338903,0,0.008130081300813009,0.0021009109859640366,0.0032531256411536588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2026-03-29 21:01:27.355962,GOMINING,GoMining Token,0.308268,124776144.0,227,11478250.0,-0.61175,0.2388133904665806,0.09199074143531796,0.4863416535628591,High,speculative,0.296404,-0.038485992707643954,0,0.004405286343612335,0.04473892930212595,0.0021424742447703044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2026-03-29 21:01:27.355962,GRASS,Grass,0.291677,158116481.0,193,5392700.0,-0.30139,-15.492828575757411,0.03410586907762006,0.21533056678042167,Medium,speculative,0.275171,-0.05658999509731662,0,0.0051813471502590676,0.007344036119022785,0.0011157024185514076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2026-03-29 21:01:27.355962,GRT,The Graph,0.02356421,253661617.0,143,9264367.0,-2.12951,-4.692159928347591,0.03652254176082147,0.29647918729597733,Medium,balanced,0.02353571,-0.0012094612974505523,0,0.006993006993006993,0.010828173499231741,0.0020732810300417995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2026-03-29 21:01:27.355962,GT,Gate,6.51,1133103428.0,62,1564440.0,-0.5903,-1.3155748204316182,0.0013806683144197496,0.40185021137842847,Medium,balanced,6.49,-0.003072196620583652,0,0.016129032258064516,0.0005548218539930749,0.006481455022232717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,2026-03-29 21:01:27.355962,H,Humanity,0.081968,149286279.0,203,7711419.0,-0.58768,-14.217314404273223,0.05165524287734441,0.2279269651868115,High,speculative,0.081782,-0.002269178215889196,0,0.0049261083743842365,0.011773622745020772,0.0011227929319547365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2026-03-29 21:01:27.355962,HBAR,Hedera,0.088208,3816892544.0,27,44261259.0,-2.79284,-1.1098880022636686,0.011596150137780772,0.34729628242006777,Low,balanced,0.086462,-0.019794122982042417,0,0.037037037037037035,0.0040272998332362185,0.012862825274817325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2026-03-29 21:01:27.355962,HNT,Helium,1.13,209246992.0,160,2835981.0,-2.36237,-1.2060208578936924,0.013553270099098963,0.2792413510849629,Medium,speculative,0.991229,-0.12280619469026538,0,0.00625,0.003784633454091823,0.0017452584442810182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2026-03-29 21:01:27.355962,HTX,HTX DAO,1.73e-06,1583149970.0,50,15014365.0,0.64247,-0.08619345230846712,0.009483855152395955,0.5364458152836467,Low,balanced,1.73e-06,0.0,0,0.02,0.005087574409259061,0.010728916305672933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2026-03-29 21:01:27.355962,HYPE,Hyperliquid,38.73,9231927498.0,13,114533420.0,-3.00199,1.6391739954204816,0.012406230445896858,0.4424928931334988,Medium,balanced,35.72,-0.07771753162922794,0,0.07692307692307693,0.005489668802885798,0.03403791485642299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2026-03-29 21:01:27.355962,ICP,Internet Computer,2.22,1223319141.0,61,27717422.0,-1.51685,-5.617146169798549,0.022657556046529644,0.3485056318008187,Medium,balanced,2.26,0.018018018018017834,1,0.01639344262295082,0.007896285885058274,0.0057132070787019465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2026-03-29 21:01:27.355962,IMX,Immutable,0.14339,122359165.0,230,7219089.0,-3.59713,-8.81941686566417,0.05899916855431303,0.16654328002426386,High,speculative,0.131555,-0.08253713648092605,0,0.004347826086956522,0.009825915049739698,0.0007241012174967994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
